               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10587,            0.096169,            0.059351,             0.29448,             0.33197,            0.070821,            0.016947,            0.085963,             0.11371,            0.053409,            0.070429,           0.0032857,           0.0032857
                   1,            0.076357,            0.076188,            0.046441,             0.21211,             0.46806,             0.26162,             0.09081,            0.072899,            0.046296,            0.043539,            0.039609,           0.0057999,           0.0057999
                   2,            0.072446,            0.065588,            0.041811,             0.21467,             0.60596,              0.2897,             0.12176,            0.066919,            0.043414,            0.037697,           0.0079654,           0.0074892,           0.0074892
                   3,             0.06167,            0.061657,            0.037094,             0.38367,             0.72048,             0.64406,             0.27648,            0.051417,            0.039898,             0.03327,           0.0062875,           0.0062875,           0.0062875
                   4,            0.054265,            0.058121,            0.032904,             0.57599,             0.85028,              0.7136,             0.30917,            0.046263,            0.038332,            0.029256,           0.0062875,           0.0062875,           0.0062875
                   5,            0.046825,            0.054429,            0.029236,             0.58172,             0.90887,             0.81387,             0.39965,            0.046009,            0.037923,            0.025762,             0.00505,             0.00505,             0.00505
                   6,            0.041932,            0.052305,            0.026478,             0.74001,             0.94906,             0.86063,             0.45767,            0.038447,            0.035017,            0.023276,           0.0038125,           0.0038125,           0.0038125
                   7,            0.036957,            0.049978,            0.024165,             0.82933,             0.92075,             0.93156,             0.56273,            0.032093,            0.033115,            0.021346,            0.002575,            0.002575,            0.002575
