               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10587,            0.096169,            0.059351,             0.29448,             0.33197,            0.070821,            0.016947,            0.085963,             0.11371,            0.053409,            0.070429,           0.0032857,           0.0032857
                   1,            0.074878,            0.076948,            0.046672,             0.29991,             0.57694,             0.33892,             0.12211,            0.075316,            0.045737,            0.043648,            0.039118,           0.0053085,           0.0053085
                   2,            0.068057,            0.067096,            0.042475,             0.38448,             0.63995,             0.47506,             0.18009,            0.057735,             0.04248,            0.039387,           0.0064874,           0.0060112,           0.0060112
                   3,              0.0567,            0.061775,            0.038836,             0.45784,             0.71903,             0.61934,             0.25726,            0.049331,            0.040192,            0.035785,             0.00406,             0.00406,             0.00406
                   4,            0.051268,             0.05851,            0.035807,             0.48258,             0.72863,             0.68452,             0.30799,            0.046686,            0.038462,            0.032116,             0.00406,             0.00406,             0.00406
