               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10587,            0.096169,            0.059351,             0.29448,             0.33197,            0.070821,            0.016947,            0.085963,             0.11371,            0.053409,            0.070429,           0.0032857,           0.0032857
                   1,            0.075112,            0.076784,            0.046578,             0.25482,              0.5248,              0.3167,            0.095312,             0.06693,            0.047214,            0.043847,            0.039336,           0.0055269,           0.0055269
                   2,            0.070252,            0.066373,            0.042251,             0.20868,             0.55538,             0.30207,             0.11907,             0.07465,            0.042859,            0.038416,           0.0071443,           0.0066681,           0.0066681
                   3,            0.060078,            0.061783,            0.038146,             0.49173,             0.75302,             0.65931,             0.25655,            0.050198,             0.04118,            0.035036,             0.00505,             0.00505,             0.00505
                   4,            0.052864,            0.058273,            0.034561,             0.50715,             0.77771,             0.72128,             0.34456,             0.04587,            0.038042,            0.030827,             0.00505,             0.00505,             0.00505
                   5,            0.044156,            0.054391,            0.031288,             0.59922,             0.91268,             0.78306,              0.3993,             0.04055,            0.036678,             0.02809,              0.0034,              0.0034,              0.0034
